TradeDate,Open,High,Low,ClosePrice,Volume,Ticker,Pct_Change,MA20,MA_Volume_30,RSI_14,Market_Regime
2025-09-11,65.0,68.75,64.55,68.0,3026831,VIC,3.9,62.88,3771192.07,69.96,EXPLOSION
2025-09-12,68.0,69.05,67.05,68.9,1972031,VIC,1.32,63.42,3691500.67,71.58,SIDEWAY_ACCUMULATION
2025-09-15,68.85,68.9,67.4,68.9,2149664,VIC,0.0,63.91,3573812.67,71.58,SIDEWAY_ACCUMULATION
2025-09-16,68.9,68.9,66.95,67.5,2925338,VIC,-2.03,64.33,3539532.33,65.22,PANIC
2025-09-17,66.75,71.95,66.7,71.55,3999937,VIC,6.0,64.96,3543260.77,72.76,EXPLOSION
2025-09-18,71.75,74.95,70.75,72.5,4400114,VIC,1.33,65.62,3410087.23,74.18,SIDEWAY_ACCUMULATION
2025-09-19,72.5,76.6,71.5,76.6,5623887,VIC,5.66,66.35,3456769.4,79.2,EXPLOSION
2025-09-22,74.85,77.1,71.95,74.4,5122385,VIC,-2.87,66.94,3489157.3,71.2,PANIC
2025-09-23,74.0,75.05,72.8,74.6,1431263,VIC,0.27,67.57,3429335.43,71.48,SIDEWAY_ACCUMULATION
2025-09-24,74.5,76.0,72.8,74.5,1757357,VIC,-0.13,68.02,3378299.83,71.11,SIDEWAY_ACCUMULATION
2025-09-25,74.5,79.0,73.45,79.0,2828978,VIC,6.04,68.59,3373747.87,76.96,EXPLOSION
2025-09-26,79.0,82.45,78.0,82.0,2719861,VIC,3.8,69.39,3327172.73,79.89,EXPLOSION
2025-09-29,81.15,87.4,80.5,86.4,2457795,VIC,5.37,70.45,3265025.73,83.25,EXPLOSION
2025-09-30,86.75,91.5,86.75,87.45,4686675,VIC,1.22,71.62,3245463.27,83.94,SIDEWAY_NOISE
2025-10-01,87.45,87.5,83.9,85.0,2654215,VIC,-2.8,72.74,3213978.8,76.07,PANIC
2025-10-02,84.4,87.85,84.4,85.5,2388126,VIC,0.59,73.89,3116947.03,76.55,SIDEWAY_ACCUMULATION
2025-10-03,86.0,89.65,85.55,88.25,4900222,VIC,3.22,75.18,3030944.2,79.06,EXPLOSION
2025-10-06,93.4,93.4,88.25,89.85,2414213,VIC,1.81,76.55,2975410.53,80.37,SIDEWAY_ACCUMULATION
